ville,Emmanuel Macron,Marine Le Pen
Autrey-sur-Madon,59.35,40.65
Avillers,30.77,69.23
Avrainville,62.84,37.16
Avricourt,40.2,59.8
Avril,51.22,48.78
Azelot,63.16,36.84
Azerailles,49.29,50.71
Baccarat,45.25,54.75
Badonviller,46.32,53.68
Bagneux,57.14,42.86
Bainville-aux-Miroirs,48.62,51.38
Bainville-sur-Madon,56.49,43.51
Barbas,41.38,58.62
Barbonville,46.34,53.66
Barisey-au-Plain,36.67,63.33
Barisey-la-Côte,48.09,51.91
Baroches (Les),56.42,43.58
Baslieux,47.58,52.42
Bathelémont,26.53,73.47
Batilly,52.12,47.88
Battigny,49.28,50.72
Bauzemont,52.13,47.87
Bayon,59.03,40.97
Bayonville-sur-Mad,60.8,39.2
Bazailles,54.88,45.12
Beaumont,35.14,64.86
Béchamps,57.14,42.86
Belleau,48.04,51.96
Belleville,52.82,47.18
Bénaménil,39.42,60.58
Benney,53.83,46.17
Bernécourt,53.64,46.36
Bertrambois,37.79,62.21
Bertrichamps,34.89,65.11
Bettainvillers,39.89,60.11
Beuveille,53.8,46.2
Beuvezin,47.22,52.78
Beuvillers,59.24,40.76
Bey-sur-Seille,58.72,41.28
Bezange-la-Grande,52.63,47.37
Bezaumont,45.8,54.2
Bicqueley,40.64,59.36
Bienville-la-Petite,43.48,56.52
Bionville,59.21,40.79
Blainville-sur-l'Eau,49.87,50.13
Blâmont,45.97,54.03
Blémerey,48.0,52.0
Blénod-lès-Pont-à-Mousson,52.42,47.58
Blénod-lès-Toul,42.63,57.37
Boismont,60.26,39.74
Boncourt,36.21,63.79
Bonviller,57.28,42.72
Bonvillers (Mont),45.88,54.12
Borville,28.07,71.93
Boucq,37.06,62.94
Bouillonville,53.25,46.75
Bouvron,41.46,58.54
Bouxières-aux-Chênes,62.93,37.07
Bouxières-aux-Dames,61.43,38.57
Bouxières-sous-Froidmont,45.4,54.6
Bouzanville,40.48,59.52
Brainville,53.85,46.15
Bralleville,41.6,58.4
Bratte,58.62,41.38
Bréhain-la-Ville,52.82,47.18
Bréménil,33.33,66.67
Brémoncourt,43.69,56.31
Val de Briey,56.34,43.66
Brin-sur-Seille,54.0,46.0
Brouville,51.25,48.75
Bruley,55.26,44.74
Bruville,53.33,46.67
Buissoncourt,53.38,46.62
Bulligny,63.46,36.54
Bures,47.22,52.78
Buriville,32.43,67.57
Burthecourt-aux-Chênes,64.71,35.29
Ceintrey,52.18,47.82
Cerville,61.62,38.38
Chaligny,55.37,44.63
Chambley-Bussières,42.04,57.96
Champenoux,57.97,42.03
Champey-sur-Moselle,43.2,56.8
Champigneulles,60.47,39.53
Chanteheux,53.78,46.22
Chaouilley,58.9,41.1
Charency-Vezin,44.44,55.56
Charey,56.0,44.0
Charmes-la-Côte,58.13,41.87
Charmois,60.45,39.55
Chaudeney-sur-Moselle,50.49,49.51
Chavigny,63.16,36.84
Chazelles-sur-Albe,28.0,72.0
Chenevières,36.33,63.67
Chenicourt,55.47,44.53
Chenières,59.83,40.17
Choloy-Ménillot,41.77,58.23
Cirey-sur-Vezouze,42.95,57.05
Clayeures,45.08,54.92
Clémery,56.86,43.14
Clérey-sur-Brenon,74.29,25.71
Coincourt,46.51,53.49
Colmey,49.6,50.4
Colombey-les-Belles,38.86,61.14
Conflans-en-Jarnisy,50.63,49.37
Cons-la-Grandville,60.65,39.35
Cosnes-et-Romain,66.88,33.12
Courbesseaux,57.56,42.44
Courcelles,62.12,37.88
Coyviller,66.67,33.33
Crantenoy,57.69,42.31
Crépey,48.13,51.87
Crévéchamps,42.56,57.44
Crévic,56.63,43.37
Crézilles,48.5,51.5
Crion,54.84,45.16
Croismare,44.94,55.06
Crusnes,63.54,36.46
Custines,52.56,47.44
Cutry,69.56,30.44
Damelevières,50.4,49.6
Dampvitoux,41.18,58.82
Deneuvre,47.57,52.43
Deuxville,51.33,48.67
Diarville,48.39,51.61
Dieulouard,49.65,50.35
Dolcourt,48.81,51.19
Dombasle-sur-Meurthe,51.72,48.28
Domèvre-en-Haye,47.18,52.82
Domèvre-sur-Vezouze,44.44,55.56
Domgermain,49.85,50.15
Domjevin,34.93,65.07
Dommarie-Eulmont,74.0,26.0
Dommartemont,82.02,17.98
Dommartin-la-Chaussée,38.46,61.54
Dommartin-lès-Toul,52.66,47.34
Dommartin-sous-Amance,60.37,39.63
Domprix,50.94,49.06
Domptail-en-l'Air,55.81,44.19
Doncourt-lès-Conflans,51.67,48.33
Doncourt-lès-Longuyon,46.94,53.06
Drouville,39.33,60.67
Ecrouves,49.95,50.05
Einvaux,42.23,57.77
Einville-au-Jard,50.89,49.11
Emberménil,33.33,66.67
Epiez-sur-Chiers,51.52,48.48
Eply,60.26,39.74
Erbéviller-sur-Amezule,64.91,35.09
Errouville,59.75,40.25
Essey-et-Maizerais,37.44,62.56
Essey-la-Côte,42.86,57.14
Essey-lès-Nancy,67.74,32.26
Etreval,66.67,33.33
Eulmont,68.48,31.52
Euvezin,43.28,56.72
Faulx,50.92,49.08
Favières,40.33,59.67
Fécocourt,39.71,60.29
Fenneviller,44.59,55.41
Ferrières,48.5,51.5
Fey-en-Haye,54.35,45.65
Fillières,60.43,39.57
Flainval,46.46,53.54
Flavigny-sur-Moselle,62.31,37.69
Fléville-devant-Nancy,69.33,30.67
Fléville-Lixières,48.89,51.11
Flin,49.6,50.4
Flirey,39.77,60.23
Fontenoy-la-Joûte,43.17,56.83
Fontenoy-sur-Moselle,67.86,32.14
Forcelles-Saint-Gorgon,53.4,46.6
Forcelles-sous-Gugney,37.74,62.26
Foug,43.78,56.22
Fraimbois,48.67,51.33
Fraisnes-en-Saintois,50.0,50.0
Francheville,33.7,66.3
Franconville,38.24,61.76
Fréménil,32.62,67.38
Frémonville,44.83,55.17
Fresnois-la-Montagne,60.11,39.89
Friauville,48.98,51.02
Frolois,56.48,43.52
Frouard,55.54,44.46
Froville,50.0,50.0
Gélacourt,36.54,63.46
Gélaucourt,44.74,55.26
Gellenoncourt,45.65,54.35
Gémonville,32.69,67.31
Gerbécourt-et-Haplemont,43.85,56.15
Gerbéviller,51.08,48.92
Germiny,46.22,53.78
Germonville,69.7,30.3
Gézoncourt,58.76,41.24
Gibeaumeix,47.83,52.17
Giraumont,46.36,53.64
Giriviller,48.48,51.52
Glonville,40.09,59.91
Gogney,72.5,27.5
Gondrecourt-Aix,48.19,51.81
Gondreville,59.35,40.65
Gondrexon,66.67,33.33
Gorcy,59.0,41.0
Goviller,48.31,51.69
Grand-Failly,46.86,53.14
Grimonviller,44.44,55.56
Gripport,45.39,54.61
Griscourt,37.5,62.5
Grosrouvres,26.83,73.17
Gugney,54.24,45.76
Gye,49.25,50.75
Hablainville,37.61,62.39
Hagéville,40.3,59.7
Haigneville,46.15,53.85
Halloville,55.1,44.9
Hammeville,61.02,38.98
Hamonville,34.48,65.52
Hannonville-Suzémont,38.52,61.48
Haraucourt,52.35,47.65
Harbouey,39.19,60.81
Haroué,58.14,41.86
Hatrize,53.19,46.81
Haucourt-Moulaine,65.92,34.08
Haudonville,50.0,50.0
Haussonville,56.21,43.79
Heillecourt,70.67,29.33
Hénaménil,49.46,50.54
Herbéviller,51.09,48.91
Hériménil,54.15,45.85
Herserange,64.66,35.34
Hoéville,48.08,51.92
Homécourt,56.52,43.48
Houdelmont,58.14,41.86
Houdemont,76.68,23.32
Houdreville,46.96,53.04
Housséville,62.64,37.36
Hudiviller,58.96,41.04
Hussigny-Godbrange,66.35,33.65
Igney,51.43,48.57
Jaillon,43.67,56.33
Jarny,57.48,42.52
Jarville-la-Malgrange,64.58,35.42
Jaulny,55.63,44.37
Jeandelaincourt,39.42,60.58
Jeandelize,52.28,47.72
Jevoncourt,57.45,42.55
Jezainville,47.9,52.1
Joeuf,55.02,44.98
Jolivet,52.14,47.86
Joppécourt,28.81,71.19
Jouaville,49.69,50.31
Joudreville,42.76,57.24
Juvrecourt,48.28,51.72
Labry,55.68,44.32
Lachapelle,33.96,66.04
Lagney,48.33,51.67
Laître-sous-Amance,65.22,34.78
Laix,61.82,38.18
Laloeuf,48.0,52.0
Lamath,31.15,68.85
Landécourt,50.91,49.09
Landremont,59.57,40.43
Landres,50.48,49.52
Laneuvelotte,64.58,35.42
Laneuveville-aux-Bois,37.22,62.78
Laneuveville-derrière-Foug,49.43,50.57
Laneuveville-devant-Bayon,66.42,33.58
Laneuveville-devant-Nancy,60.51,39.49
Lanfroicourt,75.31,24.69
Lantéfontaine,54.5,45.5
Laronxe,44.59,55.41
Laxou,76.68,23.32
Lay-Saint-Christophe,74.64,25.36
Lay-Saint-Remy,35.64,64.36
Lebeuville,40.63,59.38
Leintrey,35.56,64.44
Lemainville,53.89,46.11
Leménil-Mitry,100.0,0.0
Lenoncourt,57.76,42.24
Lesménils,52.33,47.67
Létricourt,42.06,57.94
Lexy,65.45,34.55
Leyr,50.55,49.45
Limey-Remenauville,47.89,52.11
Lironville,33.33,66.67
Liverdun,59.6,40.4
Loisy,46.11,53.89
Longlaville,67.44,32.56
Longuyon,49.11,50.89
Longwy,69.31,30.69
Lorey,27.87,72.13
Loromontzey,67.8,32.2
Lubey,39.46,60.54
Lucey,64.42,35.58
Ludres,71.84,28.16
Lunéville,56.95,43.05
Lupcourt,69.29,30.71
Magnières,45.25,54.75
Maidières,60.59,39.41
Mailly-sur-Seille,44.93,55.07
Mairy-Mainville,50.17,49.83
Maixe,47.77,52.23
Maizières,56.71,43.29
Malavillers,40.0,60.0
Malleloy,53.89,46.11
Malzéville,74.0,26.0
Mamey,47.37,52.63
Mandres-aux-Quatre-Tours,49.5,50.5
Mangonville,38.06,61.94
Manoncourt-en-Vermois,53.29,46.71
Manoncourt-en-Woëvre,49.11,50.89
Manonville,56.03,43.97
Manonviller,42.45,57.55
Marainviller,43.33,56.67
Marbache,55.44,44.56
Maron,65.82,34.18
Mars-la-Tour,46.74,53.26
Marthemont,61.11,38.89
Martincourt,43.75,56.25
Mattexey,61.36,38.64
Maxéville,62.98,37.02
Mazerulles,64.24,35.76
Méhoncourt,40.0,60.0
Ménil-la-Tour,54.63,45.37
Mercy-le-Bas,43.24,56.76
Mercy-le-Haut,55.71,44.29
Méréville,72.66,27.34
Merviller,47.81,52.19
Messein,57.57,42.43
Mexy,69.99,30.01
Mignéville,48.94,51.06
Millery,54.4,45.6
Minorville,40.0,60.0
Moineville,56.52,43.48
Moivrons,43.64,56.36
Moncel-lès-Lunéville,51.28,48.72
Moncel-sur-Seille,49.82,50.18
Montauville,48.57,51.43
Montenoy,45.64,54.36
Montigny,44.44,55.56
Montigny-sur-Chiers,58.46,41.54
Mont-l'Etroit,33.33,66.67
Mont-le-Vignoble,63.72,36.28
Montreux,25.0,75.0
Mont-Saint-Martin,69.26,30.74
Mont-sur-Meurthe,39.4,60.6
Morfontaine,50.33,49.67
Moriviller,64.52,35.48
Morville-sur-Seille,59.26,40.74
Mouacourt,58.49,41.51
Mouaville,40.68,59.32
Mousson,64.38,35.62
Moutiers,51.59,48.41
Moutrot,52.3,47.7
Moyen,40.62,59.38
Murville,55.07,44.93
Nancy,81.35,18.65
Neufmaisons,36.29,63.71
Neuves-Maisons,55.05,44.95
Neuviller-lès-Badonviller,39.29,60.71
Neuviller-sur-Moselle,47.73,52.27
Nomeny,53.11,46.89
Nonhigny,53.97,46.03
Norroy-le-Sec,44.34,55.66
Norroy-lès-Pont-à-Mousson,55.24,44.76
Noviant-aux-Prés,45.74,54.26
Ochey,45.22,54.78
Ogéviller,42.68,57.32
Ognéville,60.0,40.0
Olley,40.15,59.85
Omelmont,58.24,41.76
Onville,47.77,52.23
Ormes-et-Ville,64.93,35.07
Othe,43.75,56.25
Ozerailles,45.0,55.0
Pagney-derrière-Barine,59.37,40.63
Pagny-sur-Moselle,53.9,46.1
Pannes,47.0,53.0
Parey-Saint-Césaire,45.21,54.79
Parroy,60.58,39.42
Parux,34.0,66.0
Petit-Failly,44.9,55.1
Petitmont,37.74,62.26
Pettonville,29.41,70.59
Pexonne,39.01,60.99
Phlin,57.14,42.86
Piennes,48.46,51.54
Pierre-la-Treiche,44.64,55.36
Pierre-Percée,62.03,37.97
Pierrepont,42.19,57.81
Pierreville,51.74,48.26
Pompey,55.31,44.69
Pont-à-Mousson,60.02,39.98
Pont-Saint-Vincent,61.12,38.88
Port-sur-Seille,65.81,34.19
Praye,58.33,41.67
Prény,57.21,42.79
Preutin-Higny,51.79,48.21
Pulligny,57.89,42.11
Pulney,48.65,51.35
Pulnoy,65.3,34.7
Puxe,30.67,69.33
Puxieux,45.1,54.9
Quevilloncourt,65.22,34.78
Raon-lès-Leau,54.17,45.83
Raucourt,35.4,64.6
Raville-sur-Sânon,35.19,64.81
Réchicourt-la-Petite,50.0,50.0
Réclonville,50.0,50.0
Rehainviller,51.27,48.73
Reherrey,51.81,48.19
Réhon,62.43,37.57
Reillon,78.0,22.0
Rembercourt-sur-Mad,49.5,50.5
Remenoville,48.51,51.49
Réméréville,50.17,49.83
Remoncourt,60.0,40.0
Repaix,63.49,36.51
Richardménil,65.97,34.03
Rogéville,52.87,47.13
Romain,57.14,42.86
Rosières-aux-Salines,56.87,43.13
Rosières-en-Haye,53.44,46.56
Rouves,41.82,58.18
Roville-devant-Bayon,49.48,50.52
Royaumeix,36.78,63.22
Rozelieures,38.61,61.39
Saffais,46.48,53.52
Saint-Ail,44.28,55.72
Saint-Baussant,52.78,47.22
Saint-Boingt,36.0,64.0
Saint-Clément,44.17,55.83
Saint-Firmin,38.13,61.87
Sainte-Geneviève,70.54,29.46
Saint-Germain,51.61,48.39
Saint-Jean-lès-Longuyon,34.65,65.35
Saint-Julien-lès-Gorze,41.86,58.14
Saint-Marcel,60.64,39.36
Saint-Mard,55.81,44.19
Saint-Martin,41.46,58.54
Saint-Maurice-aux-Forges,46.15,53.85
Saint-Max,70.66,29.34
Saint-Nicolas-de-Port,52.66,47.34
Sainte-Pôle,48.74,51.26
Saint-Pancré,46.85,53.15
Saint-Remimont,48.94,51.06
Saint-Rémy-aux-Bois,38.3,61.7
Saint-Sauveur,38.71,61.29
Saint-Supplet,43.16,56.84
Saizerais,49.38,50.62
Sancy,41.04,58.96
Sanzey,56.76,43.24
Saulnes,60.87,39.13
Saulxerotte,25.0,75.0
Saulxures-lès-Nancy,65.02,34.98
Saulxures-lès-Vannes,46.77,53.23
Saxon-Sion,53.06,46.94
Seichamps,66.14,33.86
Seicheprey,56.45,43.55
Selaincourt,55.34,44.66
Seranville,28.57,71.43
Serres,40.6,59.4
Serrouville,50.64,49.36
Sexey-aux-Forges,56.73,43.27
Sexey-les-Bois,60.63,39.37
Sionviller,38.46,61.54
Sivry,48.1,51.9
Sommerviller,51.18,48.82
Sornéville,38.92,61.08
Sponville,54.88,45.12
Tanconville,40.58,59.42
Tantonville,49.55,50.45
Tellancourt,57.96,42.04
Thélod,68.55,31.45
They-sous-Vaudemont,0.0,100.0
Thézey-Saint-Martin,39.5,60.5
Thiaucourt-Regniéville,43.27,56.73
Thiaville-sur-Meurthe,35.66,64.34
Thiébauménil,42.99,57.01
Thil,73.14,26.86
Thorey-Lyautey,56.34,43.66
Thuilley-aux-Groseilles,54.44,45.56
Thumeréville,55.17,44.83
Tiercelet,67.07,32.93
Tomblaine,62.37,37.63
Tonnoy,58.75,41.25
Toul,54.59,45.41
Tramont-Emy,60.0,40.0
Tramont-Lassus,35.14,64.86
Tramont-Saint-André,68.75,31.25
Tremblecourt,50.91,49.09
Trieux,49.95,50.05
Trondes,42.39,57.61
Tronville,62.5,37.5
Tucquegnieux,53.16,46.84
Ugny,67.53,32.47
Uruffe,43.2,56.8
Vacqueville,29.94,70.06
Val-et-Châtillon,35.41,64.59
Valhey,44.07,55.93
Valleroy,50.3,49.7
Vallois,44.71,55.29
Vandelainville,61.43,38.57
Vandeléville,52.14,47.86
Vandières,48.39,51.61
Vandoeuvre-lès-Nancy,73.01,26.99
Vannes-le-Châtel,54.55,45.45
Varangéville,49.97,50.03
Vathiménil,46.88,53.13
Vaucourt,51.22,48.78
Vaudémont,51.92,48.08
Vaudeville,51.4,48.6
Vaudigny,60.42,39.58
Vaxainville,39.22,60.78
Vého,52.0,48.0
Velaine-en-Haye,66.73,33.27
Velaine-sous-Amance,61.58,38.42
Velle-sur-Moselle,62.28,37.72
Veney,43.33,56.67
Vennezey,55.56,44.44
Verdenal,46.15,53.85
Vézelise,56.73,43.27
Viéville-en-Haye,51.65,48.35
Vigneulles,60.51,39.49
Vilcey-sur-Trey,39.58,60.42
Villacourt,43.51,56.49
Ville-au-Montois,51.18,48.82
Ville-au-Val,45.16,54.84
Villecey-sur-Mad,44.13,55.87
Ville-en-Vermois,63.11,36.89
Ville-Houdlémont,55.16,44.84
Villers-en-Haye,32.32,67.68
Villers-la-Chèvre,63.53,36.47
Villers-la-Montagne,68.12,31.88
Villers-le-Rond,63.93,36.07
Villers-lès-Moivrons,51.35,48.65
Villers-lès-Nancy,78.18,21.82
Villers-sous-Prény,43.52,56.48
Villerupt,69.15,30.85
Ville-sur-Yron,56.65,43.35
Villette,41.46,58.54
Villey-le-Sec,69.23,30.77
Villey-Saint-Etienne,58.97,41.03
Virecourt,51.93,48.07
Viterne,48.88,51.12
Vitrey,48.65,51.35
Vitrimont,59.06,40.94
Vittonville,40.45,59.55
Viviers-sur-Chiers,43.62,56.38
Voinémont,51.23,48.77
Vroncourt,68.24,31.76
Waville,44.34,55.66
Xammes,36.36,63.64
Xermaménil,47.4,52.6
Xeuilley,53.2,46.8
Xirocourt,49.62,50.38
Xivry-Circourt,49.64,50.36
Xonville,28.17,71.83
Xousse,42.42,57.58
Xures,38.75,61.25
Han-Devant-Pierrepont,35.14,64.86
Abainville,42.94,57.06
Abaucourt-Hautecourt,38.89,61.11
Aincreville,54.55,45.45
Amanty,67.86,32.14
Ambly-sur-Meuse,50.0,50.0
Amel-sur-l'Etang,37.84,62.16
Ancemont,48.93,51.07
Ancerville,41.09,58.91
Andernay,34.81,65.19
Apremont-la-Forêt,44.5,55.5
Arrancy-sur-Crusne,56.56,43.44
Aubréville,53.36,46.64
Aulnois-en-Perthois,35.11,64.89
Autrécourt-sur-Aire,60.0,40.0
Autréville-Saint-Lambert,71.88,28.13
Avillers-Sainte-Croix,33.33,66.67
Avioth,75.47,24.53
Avocourt,33.33,66.67
Azannes-et-Soumazannes,56.84,43.16
Baâlon,42.31,57.69
Badonvilliers-Gérauvilliers,37.8,62.2
Bannoncourt,27.5,72.5
Bantheville,49.25,50.75
Bar-le-Duc,66.72,33.28
Baudignécourt,31.71,68.29
Baudonvilliers,42.8,57.2
Baudrémont,55.17,44.83
Baulny,70.0,30.0
Bazeilles-sur-Othain,56.9,43.1
Bazincourt-sur-Saulx,54.0,46.0
Beauclair,37.93,62.07
Beaufort-en-Argonne,46.05,53.95
Beaulieu-en-Argonne,66.67,33.33
Beausite,66.05,33.95
Behonne,71.98,28.02
Belleray,64.01,35.99
Belleville-sur-Meuse,49.38,50.63
Belrain,67.86,32.14
Belrupt-en-Verdunois,50.33,49.67
Beney-en-Woëvre,41.67,58.33
Béthelainville,45.0,55.0
Béthincourt,65.22,34.78
Beurey-sur-Saulx,49.23,50.77
Biencourt-sur-Orge,52.05,47.95
Billy-sous-Mangiennes,44.03,55.97
Bislée,55.56,44.44
Blanzée,52.94,47.06
Boinville-en-Woëvre,48.84,51.16
Boncourt-sur-Meuse,61.88,38.12
Bonnet,29.41,70.59
Bonzée,62.26,37.74
Le Bouchon-sur-Saulx,40.32,59.68
Bouconville-sur-Madt,30.77,69.23
Bouligny,48.86,51.14
Bouquemont,39.34,60.66
Boureuilles,51.32,48.68
Bovée-sur-Barboure,49.33,50.67
Boviolles,47.14,52.86
Brabant-en-Argonne,60.0,40.0
Brabant-le-Roi,53.79,46.21
Brabant-sur-Meuse,42.65,57.35
Brandeville,42.17,57.83
Braquis,35.59,64.41
Bras-sur-Meuse,61.85,38.15
Brauvilliers,28.28,71.72
Bréhéville,32.71,67.29
Breux,52.94,47.06
Brieulles-sur-Meuse,45.45,54.55
Brillon-en-Barrois,56.34,43.66
Brixey-aux-Chanoines,54.93,45.07
Brizeaux,48.65,51.35
Brocourt-en-Argonne,87.5,12.5
Brouennes,27.06,72.94
Broussey-en-Blois,36.84,63.16
Broussey-Raulecourt,44.74,55.26
Bure,42.0,58.0
Burey-en-Vaux,52.24,47.76
Burey-la-Côte,39.29,60.71
Buxières-sous-les-Côtes,63.84,36.16
Buzy-Darmont,43.46,56.54
Cesse,37.23,62.77
Chaillon,38.71,61.29
Chalaines,54.4,45.6
Champneuville,52.0,48.0
Champougny,68.63,31.37
Chardogne,50.84,49.16
Charny-sur-Meuse,62.15,37.85
Charpentry,57.14,42.86
Chassey-Beaupré,41.82,58.18
Châtillon-sous-les-Côtes,53.85,46.15
Chattancourt,42.86,57.14
Chaumont-devant-Damvillers,22.22,77.78
Chaumont-sur-Aire,62.22,37.78
Chauvency-le-Château,44.05,55.95
Chauvency-Saint-Hubert,28.7,71.3
Chauvoncourt,51.2,48.8
Cheppy,52.94,47.06
Chonville-Malaumont,33.88,66.12
Cierges-sous-Montfaucon,55.56,44.44
Le Claon,39.29,60.71
Clermont-en-Argonne,56.36,43.64
Cléry-Grand,28.85,71.15
Cléry-Petit,54.74,45.26
Combles-en-Barrois,65.1,34.9
Combres-sous-les-Côtes,66.18,33.82
Commercy,59.58,40.42
Les Hauts-de-Chée,49.14,50.86
Consenvoye,53.95,46.05
Contrisson,45.17,54.83
Courcelles-en-Barrois,66.67,33.33
Courcelles-sur-Aire,71.43,28.57
Courouvre,41.18,58.82
Cousances-les-Forges,34.14,65.86
Couvertpuis,64.91,35.09
Couvonges,40.28,59.72
Cuisy,46.15,53.85
Culey,64.65,35.35
Cunel,37.5,62.5
Dagonville,54.17,45.83
Dainville-Bertheléville,46.59,53.41
Damloup,60.53,39.47
Dammarie-sur-Saulx,42.13,57.87
Damvillers,59.38,40.63
Dannevoux,48.48,51.52
Delouze-Rosières,34.67,65.33
Delut,34.55,65.45
Demange-aux-Eaux,45.26,54.74
Dieppe-sous-Douaumont,48.04,51.96
Dieue-sur-Meuse,50.51,49.49
Dombasle-en-Argonne,51.42,48.58
Dombras,55.88,44.12
Dommartin-la-Montagne,21.43,78.57
Dommary-Baroncourt,35.8,64.2
Dompcevrin,42.16,57.84
Dompierre-aux-Bois,52.78,47.22
Domremy-la-Canne,59.09,40.91
Doncourt-aux-Templiers,45.45,54.55
Douaumont,50.0,50.0
Doulcon,46.98,53.02
Dugny-sur-Meuse,60.16,39.84
Dun-sur-Meuse,57.68,42.32
Duzey,42.86,57.14
Ecouviez,57.96,42.04
Ecurey-en-Verdunois,48.57,51.43
Eix,55.56,44.44
Les Eparges,59.52,40.48
Epiez-sur-Meuse,46.88,53.13
Epinonville,48.65,51.35
Erize-la-Brûlée,41.13,58.87
Erize-la-Petite,58.33,41.67
Erize-Saint-Dizier,43.86,56.14
Erneville-aux-Bois,46.24,53.76
Esnes-en-Argonne,46.15,53.85
Etain,45.56,54.44
Eton,40.18,59.82
Etraye,33.33,66.67
Euville,45.67,54.33
Evres,53.57,46.43
Fains-Véel,61.0,39.0
Flassigny,73.68,26.32
Foameix-Ornel,54.24,45.76
Fontaines-Saint-Clair,55.56,44.44
Forges-sur-Meuse,39.74,60.26
Foucaucourt-sur-Thabas,41.38,58.62
Fouchères-aux-Bois,56.41,43.59
Frémeréville-sous-les-Côtes,48.05,51.95
Fresnes-au-Mont,43.59,56.41
Fresnes-en-Woëvre,58.33,41.67
Froidos,54.0,46.0
Fromeréville-les-Vallons,60.98,39.02
Fromezey,57.14,42.86
Futeau,47.57,52.43
Génicourt-sur-Meuse,48.28,51.72
Gercourt-et-Drillancourt,37.5,62.5
Géry,24.14,75.86
Gesnes-en-Argonne,45.45,54.55
Gimécourt,62.5,37.5
Gincrey,26.47,73.53
Girauvoisin,40.48,59.52
Givrauval,57.96,42.04
Gondrecourt-le-Château,50.2,49.8
Gouraincourt,31.43,68.57
Goussaincourt,37.35,62.65
Gremilly,62.5,37.5
Grimaucourt-en-Woëvre,43.86,56.14
Grimaucourt-près-Sampigny,38.46,61.54
Guerpont,53.74,46.26
Gussainville,39.29,60.71
Haironville,39.13,60.87
Halles-sous-les-Côtes,47.62,52.38
Han-lès-Juvigny,76.36,23.64
Hannonville-sous-les-Côtes,55.16,44.84
Han-sur-Meuse,45.35,54.65
Harville,37.5,62.5
Haudainville,48.54,51.46
Haudiomont,35.25,64.75
Heippes,45.83,54.17
Hennemont,51.43,48.57
Herbeuville,61.17,38.83
Herméville-en-Woëvre,35.57,64.43
Heudicourt-sous-les-Côtes,48.11,51.89
Hévilliers,27.78,72.22
Horville-en-Ornois,46.67,53.33
Houdelaincourt,34.88,65.12
Inor,44.55,55.45
Ippécourt,36.76,63.24
Iré-le-Sec,40.3,59.7
Les Islettes,45.32,54.68
Les Trois-Domaines,50.72,49.28
Jametz,27.34,72.66
Jonville-en-Woëvre,48.86,51.14
Jouy-en-Argonne,53.13,46.88
Geville,41.79,58.21
Julvécourt,57.89,42.11
Juvigny-en-Perthois,46.67,53.33
Juvigny-sur-Loison,47.37,52.63
Koeur-la-Grande,54.13,45.87
Koeur-la-Petite,54.94,45.06
Labeuville,54.84,45.16
Lachalade,22.22,77.78
Lachaussée,51.92,48.08
Lacroix-sur-Meuse,46.67,53.33
Lahaymeix,59.65,40.35
Lahayville,14.29,85.71
Laheycourt,47.06,52.94
Laimont,58.85,41.15
Lamorville,38.95,61.05
Lamouilly,75.56,24.44
Landrecourt-Lempire,56.76,43.24
Laneuville-au-Rupt,38.53,61.47
Laneuville-sur-Meuse,47.4,52.6
Lanhères,15.0,85.0
Latour-en-Woëvre,47.37,52.63
Lavallée,56.9,43.1
Lavincourt,21.95,78.05
Lavoye,47.73,52.27
Lemmes,34.62,65.38
Lérouville,52.29,47.71
Levoncourt,50.0,50.0
Lignières-sur-Aire,63.33,36.67
Ligny-en-Barrois,53.57,46.43
Liny-devant-Dun,30.43,69.57
Lion-devant-Dun,52.29,47.71
Lisle-en-Barrois,80.77,19.23
Lisle-en-Rigault,40.82,59.18
Lissey,39.34,60.66
Loisey,45.45,54.55
Loison,56.67,43.33
Longeaux,53.33,46.67
Longchamps-sur-Aire,69.01,30.99
Longeville-en-Barrois,54.92,45.08
Loupmont,45.83,54.17
Louppy-le-Château,51.0,49.0
Louppy-sur-Loison,52.24,47.76
Luzy-Saint-Martin,40.51,59.49
Maizeray,47.37,52.63
Maizey,50.5,49.5
Malancourt,40.91,59.09
Mandres-en-Barrois,54.17,45.83
Mangiennes,50.0,50.0
Manheulles,45.78,54.22
Marchéville-en-Woëvre,40.0,60.0
Marre,61.29,38.71
Marson-sur-Barboure,57.58,42.42
Martincourt-sur-Meuse,51.22,48.78
Marville,47.64,52.36
Maucourt-sur-Orne,52.38,47.62
Maulan,60.87,39.13
Mauvages,42.31,57.69
Maxey-sur-Vaise,39.39,60.61
Mécrin,42.74,57.26
Méligny-le-Grand,57.63,42.37
Méligny-le-Petit,50.0,50.0
Menaucourt,38.65,61.35
Ménil-aux-Bois,59.09,40.91
Ménil-la-Horgne,39.81,60.19
Ménil-sur-Saulx,51.68,48.32
Merles-sur-Loison,35.9,64.1
Milly-sur-Bradon,59.21,40.79
Mogeville,45.61,54.39
Mognéville,45.12,54.88
Moirey-Flabas-Crépion,46.75,53.25
Montblainville,64.71,35.29
Montbras,57.14,42.86
Mont-devant-Sassey,52.17,47.83
Montfaucon-d'Argonne,45.03,54.97
Les Monthairons,44.64,55.36
Montiers-sur-Saulx,43.93,56.07
Montigny-devant-Sassey,49.43,50.57
Montigny-lès-Vaucouleurs,56.36,43.64
Montmédy,58.06,41.94
Montplonne,59.0,41.0
Montsec,65.12,34.88
