ville,Emmanuel Macron,Marine Le Pen
Saint-Nizier-le-Désert,42.13,57.87
Sainte-Olive,53.8,46.2
Saint-Paul-de-Varax,47.16,52.84
Saint-Rambert-en-Bugey,51.83,48.17
Saint-Rémy,65.12,34.88
Saint-Sorlin-en-Bugey,63.17,36.83
Saint-Sulpice,50.0,50.0
Saint-Trivier-de-Courtes,51.86,48.14
Saint-Trivier-sur-Moignans,46.89,53.11
Saint-Vulbas,43.17,56.83
Salavre,49.03,50.97
Samognat,56.23,43.77
Sandrans,50.0,50.0
Sault-Brénaz,53.42,46.58
Sauverny,75.74,24.26
Savigneux,48.15,51.85
Ségny,69.5,30.5
Seillonnaz,64.84,35.16
Sergy,72.83,27.17
Sermoyer,51.56,48.44
Serrières-de-Briord,53.9,46.1
Serrières-sur-Ain,46.43,53.57
Servas,44.84,55.16
Servignat,57.65,42.35
Seyssel,59.86,40.14
Simandre-sur-Suran,55.86,44.14
Sonthonnax-la-Montagne,66.47,33.53
Souclin,43.79,56.21
Sulignat,53.94,46.06
Surjoux,50.0,50.0
Sutrieu,60.63,39.37
Talissieu,52.63,47.37
Tenay,48.75,51.25
Thézillieu,61.08,38.92
Thil,68.07,31.93
Thoiry,76.51,23.49
Thoissey,53.34,46.66
Torcieu,44.09,55.91
Tossiat,61.33,38.67
Toussieux,53.67,46.33
Tramoyes,66.18,33.82
La Tranclière,58.97,41.03
Val-Revermont,60.78,39.22
Trévoux,67.5,32.5
Valeins,51.72,48.28
Vandeins,47.63,52.37
Varambon,44.55,55.45
Vaux-en-Bugey,60.4,39.6
Verjon,55.15,44.85
Vernoux,35.51,64.49
Versailleux,49.15,50.85
Versonnex,69.35,30.65
Vesancy,80.46,19.54
Vescours,50.5,49.5
Vésines,48.89,51.11
Vieu-d'Izenave,45.35,54.65
Vieu,71.17,28.83
Villars-les-Dombes,58.34,41.66
Villebois,51.22,48.78
Villemotier,55.52,44.48
Villeneuve,47.43,52.57
Villereversure,49.64,50.36
Villes,60.59,39.41
Villette-sur-Ain,52.82,47.18
Villieu-Loyes-Mollon,51.97,48.03
Viriat,63.28,36.72
Virieu-le-Grand,54.05,45.95
Virieu-le-Petit,55.07,44.93
Virignin,47.64,52.36
Vongnes,69.64,30.36
Vonnas,62.1,37.9
Abbécourt,28.0,72.0
Achery,34.32,65.68
Acy,47.86,52.14
Agnicourt-et-Séchelles,52.34,47.66
Aguilcourt,42.0,58.0
Aisonville-et-Bernoville,35.44,64.56
Aizelles,47.44,52.56
Aizy-Jouy,40.28,59.72
Alaincourt,34.74,65.26
Allemant,38.24,61.76
Ambleny,49.35,50.65
Ambrief,51.06,48.94
Amifontaine,45.13,54.87
Amigny-Rouy,40.95,59.05
Ancienville,28.0,72.0
Andelain,51.69,48.31
Anguilcourt-le-Sart,46.54,53.46
Anizy-le-Château,46.73,53.27
Annois,40.58,59.42
Any-Martin-Rieux,36.08,63.92
Archon,27.59,72.41
Arcy-Sainte-Restitue,47.06,52.94
