lien,Emmanuel Macron,Marine Le Pen
https://www.journaldunet.com/management/ville/malbosc/ville-07148,61.02,38.98
https://www.journaldunet.com/management/ville/semalle/ville-61467,50.46,49.54
https://www.journaldunet.com/management/ville/mandelieu-la-napoule/ville-06079,44.89,55.11
https://www.journaldunet.com/management/ville/jaillon/ville-54272,36.3,63.7
https://www.journaldunet.com/management/ville/saint-vincent-du-pendit/ville-46295,59.71,40.29
https://www.journaldunet.com/management/ville/lemainville/ville-54309,51.69,48.31
https://www.journaldunet.com/management/ville/aubigny-la-ronce/ville-21032,63.83,36.17
https://www.journaldunet.com/management/ville/bellechaume/ville-89035,37.21,62.79
https://www.journaldunet.com/management/ville/saint-martin-du-vivier/ville-76617,77.18,22.82
https://www.journaldunet.com/management/ville/arzillieres-neuville/ville-51017,30.7,69.3
https://www.journaldunet.com/management/ville/colombiers/ville-18069,53.66,46.34
https://www.journaldunet.com/management/ville/blosseville/ville-76104,56.54,43.46
https://www.journaldunet.com/management/ville/monthureux-sur-saone/ville-88310,46.08,53.92
https://www.journaldunet.com/management/ville/franseches/ville-23086,53.96,46.04
https://www.journaldunet.com/management/ville/mauriac/ville-33278,52.78,47.22
https://www.journaldunet.com/management/ville/yssandon/ville-19289,43.96,56.04
https://www.journaldunet.com/management/ville/tanavelle/ville-15232,48.82,51.18
https://www.journaldunet.com/management/ville/chateau-voue/ville-57133,43.28,56.72
https://www.journaldunet.com/management/ville/coulombs-en-valois/ville-77129,35.32,64.68
https://www.journaldunet.com/management/ville/cobonne/ville-26098,61.39,38.61
https://www.journaldunet.com/management/ville/couffy-sur-sarsonne/ville-19064,38.98,61.02
https://www.journaldunet.com/management/ville/lescurry/ville-65269,44.23,55.77
https://www.journaldunet.com/management/ville/astaffort/ville-47015,52.54,47.46
https://www.journaldunet.com/management/ville/quinsac/ville-33349,71.71,28.29
https://www.journaldunet.com/management/ville/vaucresson/ville-92076,82.18,17.82
https://www.journaldunet.com/management/ville/trebeurden/ville-22343,73.77,26.23
https://www.journaldunet.com/management/ville/marsaz/ville-26177,48.61,51.39
https://www.journaldunet.com/management/ville/riedisheim/ville-68271,65.61,34.39
https://www.journaldunet.com/management/ville/pietricaggio/ville-2B227,41.67,58.33
https://www.journaldunet.com/management/ville/orainville/ville-02572,39.93,60.07
https://www.journaldunet.com/management/ville/etables/ville-07086,49.79,50.21
https://www.journaldunet.com/management/ville/diane-capelle/ville-57175,53.85,46.15
https://www.journaldunet.com/management/ville/saint-michel-sur-meurthe/ville-88428,45.25,54.75
https://www.journaldunet.com/management/ville/la-roquebrussanne/ville-83108,35.72,64.28
https://www.journaldunet.com/management/ville/la-besseyre-saint-mary/ville-43029,48.75,51.25
https://www.journaldunet.com/management/ville/vaux-sur-somme/ville-80784,60.11,39.89
https://www.journaldunet.com/management/ville/saint-andre-de-chalencon/ville-43166,49.56,50.44
https://www.journaldunet.com/management/ville/saugues/ville-43234,52.08,47.92
https://www.journaldunet.com/management/ville/saint-martin-de-valamas/ville-07269,55.06,44.94
https://www.journaldunet.com/management/ville/soubes/ville-34304,54.9,45.1
https://www.journaldunet.com/management/ville/montcuit/ville-50340,65.69,34.31
https://www.journaldunet.com/management/ville/proissans/ville-24341,53.33,46.67
https://www.journaldunet.com/management/ville/affoux/ville-69001,41.35,58.65
https://www.journaldunet.com/management/ville/fourches/ville-14283,44.88,55.12
https://www.journaldunet.com/management/ville/grezieu-la-varenne/ville-69094,63.72,36.28
https://www.journaldunet.com/management/ville/riedseltz/ville-67400,50.7,49.3
https://www.journaldunet.com/management/ville/wassigny/ville-02830,29.85,70.15
https://www.journaldunet.com/management/ville/thouare-sur-loire/ville-44204,75.49,24.51
https://www.journaldunet.com/management/ville/porta/ville-66146,46.77,53.23
https://www.journaldunet.com/management/ville/chamberet/ville-19036,51.38,48.62
https://www.journaldunet.com/management/ville/mouriez/ville-62596,47.34,52.66
https://www.journaldunet.com/management/ville/beaudean/ville-65078,63.64,36.36
https://www.journaldunet.com/management/ville/martinpuich/ville-62561,54.62,45.38
https://www.journaldunet.com/management/ville/alaincourt/ville-70010,35.9,64.1
https://www.journaldunet.com/management/ville/camiran/ville-33087,46.7,53.3
https://www.journaldunet.com/management/ville/vins-sur-caramy/ville-83151,38.18,61.82
https://www.journaldunet.com/management/ville/bougligny/ville-77045,36.9,63.1
https://www.journaldunet.com/management/ville/saint-leonard-de-noblat/ville-87161,55.61,44.39
https://www.journaldunet.com/management/ville/houx/ville-28195,55.4,44.6
https://www.journaldunet.com/management/ville/fontaine-les-croisilles/ville-62343,49.73,50.27
https://www.journaldunet.com/management/ville/herrlisheim/ville-67194,52.78,47.22
https://www.journaldunet.com/management/ville/estezargues/ville-30107,50.0,50.0
https://www.journaldunet.com/management/ville/allan/ville-26005,48.47,51.53
https://www.journaldunet.com/management/ville/francilly-selency/ville-02330,52.41,47.59
https://www.journaldunet.com/management/ville/saint-aubin/ville-91538,83.33,16.67
https://www.journaldunet.com/management/ville/sus-saint-leger/ville-62804,35.29,64.71
https://www.journaldunet.com/management/ville/saint-pierre-le-viger/ville-76642,39.86,60.14
https://www.journaldunet.com/management/ville/kalhausen/ville-57355,32.37,67.63
https://www.journaldunet.com/management/ville/apremont/ville-85006,52.53,47.47
https://www.journaldunet.com/management/ville/san-gavino-di-fiumorbo/ville-2B365,29.41,70.59
https://www.journaldunet.com/management/ville/saint-jeannet/ville-06122,51.7,48.3
https://www.journaldunet.com/management/ville/saint-germain-du-plain/ville-71420,49.53,50.47
https://www.journaldunet.com/management/ville/givrezac/ville-17178,53.49,46.51
https://www.journaldunet.com/management/ville/audigny/ville-02035,35.48,64.52
https://www.journaldunet.com/management/ville/sainte-pole/ville-54484,40.54,59.46
https://www.journaldunet.com/management/ville/marles-sur-canche/ville-62556,43.98,56.02
https://www.journaldunet.com/management/ville/bouan/ville-09064,38.71,61.29
https://www.journaldunet.com/management/ville/quissac/ville-46233,73.44,26.56
https://www.journaldunet.com/management/ville/montigny-les-arsures/ville-39355,62.63,37.37
